rank,video,video_views,likes,dislikes,category,published,like_ratio
1,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,54071677,3497955,78799,Music,2019,6.47
2,"20 Tennis shots if they were not filmed, NOBODY would believe them",3471237,19023,859,,2017,0.55
3,JoJo Siwa - Karma (Official Video),34206747,293563,0,Music,2024,0.86
4,David Kushner - Daylight (Official Music Video),18558390,680732,0,Music,2023,3.67
5,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,6547981039,44428537,0,Music,2015,0.68
6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,76834495,804353,21195,Music,2019,1.05
7,JENNIE - ZEN (RUBY ALBUM MARCH 7),8306465,1261577,0,Music,2025,15.19
8,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)",7396199,320910,6485,Music,2020,4.34
9,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal",13894905,452087,0,Music,2023,3.25
10,JD Pantoja - 12•19 (Official Video),7010732,1027392,34185,Music,2020,14.65
11,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,96686,1007,82,Entertainment,2018,1.04
12,Rels B - LA LATINA (Videoclip Oficial),5851411,155543,3504,Music,2019,2.66
13,"Luck Ra, Nicki Nicole - DOCTOR",8286096,149421,0,Music,2024,1.8
14,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)",6953838,116350,2059,Music,2021,1.67
15,Polo G - Flex (Official Audio) ft. Juice WRLD,3845186,122706,1305,Music,2020,3.19
16,"Kevin AMF, Tiagz - Maradona (Tatara) (Video Oficial)",5756535,111266,0,Music,2024,1.93
17,LILHUDDY - America's Sweetheart (Official Music Video),3086667,346074,12082,Music,2021,11.21
18,MILLION DOLLAR BABY,11894076,226375,0,Music,2024,1.9
19,Every Moment With You (너와의 모든 지금),7958181,54903,0,Music,2024,0.69
20,Jay Wheeler - Te La Dedico / For You (Official Video),13764098,111497,0,Music,2023,0.81
21,KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER),2279833,168798,0,Music,2024,7.4
22,"Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)",1677733,211037,7579,Music,2021,12.58
23,Polo G - Be Something (Official Audio) ft. Lil Baby,2692740,99982,2393,Music,2020,3.71
24,TEST γιανα δεις αν έχεις καλά ματιά,699382,8436,1756,People & Blogs,2017,1.21
25,"GabyMusic,AnuelAA,LuarLa,Lunay,Bryant Myers - No Te Quieren Conmigo(Remix)",5461432,159823,0,Music,2024,2.93
26,Olivia Rodrigo - drivers license (Official Video),68224979,3810456,48539,Music,2021,5.59
27,Libianca - People (Visualiser) ft. Becky G,5353676,113198,0,Music,2023,2.11
28,Sofia Castro - Bien Por Ti (Official Video),3416695,204468,0,Music,2022,5.98
29,Вкладчикам Югры в Центробанке не рады,204782,5352,63,News & Politics,2017,2.61
30,Kodak Black - Hit Stick,2032486,87384,0,Music,2024,4.3
31,Jay Wheeler - Xexo (Official Video),5038848,93112,0,Music,2023,1.85
32,"6ix9ine - FEFE ft. Nicki Minaj, Murda Beatz",1090948051,9015394,0,People & Blogs,2018,0.83
33,Ice Spice - in ha mood (Official Video),3725161,160883,0,Music,2023,4.32
34,JD Pantoja - 12•19 (Trailer),2144710,317352,8155,Music,2020,14.8
35,PUN - DAY ONE,4669546,95387,0,Music,2024,2.04
36,Beéle - Si Te Interesa (Official Video),1450005,94228,1067,Music,2021,6.5
37,[Dandadan] Creepy Nuts - オトノケ(Otonoke) (Official Music Video),13933735,441696,0,Music,2024,3.17
38,Mulatto - No Hook (Official Video),2138136,123687,1793,Music,2020,5.78
39,"Asake, Central Cee - Wave (Official Video)",10779032,287616,0,Music,2024,2.67
40,Aitch - Safe To Say,1330363,84759,1749,Music,2020,6.37
41,Destroy Lonely - Look Killa (Short Film) (Short Film),1194149,89811,0,Music,2023,7.52
42,Cat mom hugs baby kitten,59857489,347772,8212,Pets & Animals,2011,0.58
43,"Alex Ponce, BLANKO - La Sin Sentimientos (Official Video)",2443713,88475,0,Music,2024,3.62
44,Addison Rae - Aquamarine (Official Video),2641333,135303,0,Music,2024,5.12
45,ALYPH - SWIPE (ft. Dato Seri Vida) Official Music Video,4645815,93750,0,Music,2022,2.02
46,Natalie Jane - AVA (Lyric Video),1592225,59621,0,Music,2022,3.74
47,紫 今 - 魔性の女A　Lyric Video,1581463,61186,0,Music,2024,3.87
48,Bunny Girl,2126674,81236,0,Music,2024,3.82
49,Morray - Trenches (Official Music Video),1352140,58129,1051,Music,2021,4.3
50,Luke Hemmings - Starting Line (Official Video),635002,129469,179,Music,2021,20.39
51,"UMI, V - wherever u r (ft. V of BTS) official lyric video",4273176,521085,0,Music,2023,12.19
52,"Si, Si Eres Tu",10363316,337066,0,Music,2023,3.25
53,7liwa - Rwicha (Official Music Video),1662974,45556,0,Music,2024,2.74
54,Kim Petras & Nicki Minaj - Alone (Official Music Video),12935167,279649,0,Music,2023,2.16
55,Eden Muñoz - ¿CÓMO TE FUE SIN MÍ?,1847580,32324,0,Music,2024,1.75
56,"Camilo, Pedro Capó - Tutu (Official Video)",1520641,319573,2361,Music,2019,21.02
57,Trueno - REAL GANGSTA LOVE (Visualizer),3079234,109936,0,Music,2024,3.57
58,Rhapsody of Sadness,3409906,18968,0,Music,2023,0.56
59,Dani Ribba - Solo Una Vez (Official Video),473979,107663,263,Music,2021,22.71
60,Roger Federer / Bill Gates vs John Isner / Mike McCready - Match for Africa 4 Highlights,514694,2742,69,Sports,2017,0.53
61,"Pedro Capó, Farruko - Calma (Remix - Official Video)",2964195014,13755637,0,Music,2018,0.46
62,Chica Atractiva,2638356,33875,0,Music,2025,1.28
63,SuperM - With You,730744,215534,379,Music,2020,29.5
64,"Eladio Carrión - Quizás, Tal Vez (Live Session) | Vevo ctrl",4196300,56077,0,Music,2023,1.34
65,Lil Kee - What You Sayin ft. Lil Baby,2716318,83058,0,Music,2022,3.06
66,Trueno - RAIN III (Visualizer),2157197,129977,0,Music,2024,6.03
67,Brock Lesnar serves breakfast in ESPN cafeteria prank | ESPN Archives,2472045,28842,1204,Sports,2017,1.17
68,Totti with a funny penalty,8353318,5613,1082,Sports,2007,0.07
69,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz - ETA RMX",9140994,179818,0,Music,2024,1.97
70,JoJo Siwa - Guilty Pleasure (Official Music Video),3870451,39264,0,Music,2024,1.01
71,"Rema, Shallipopi - BENIN BOYS",3795164,112684,0,Music,2024,2.97
72,Remember Me (기억해줘요 내 모든 날과 그때를),5272487,20088,0,Music,2024,0.38
73,Можно я с тобой (can i come with you),2218610,92278,0,Music,2024,4.16
74,Isadora Pompeo - Ovelhinha (Ao Vivo),2934585,66830,0,Music,2024,2.28
75,新時代 (ウタ from ONE PIECE FILM RED),4321634,156105,0,Music,2022,3.61
76,Massimo Pericolo - Moneylove (Visual Video) ft. Emis Killa,3824053,36936,0,Music,2023,0.97
77,La nevedere,2960493,22343,0,Music,2022,0.75
78,CHAINSAW BLOOD / Vaundy：MUSIC VIDEO,5767744,98070,0,Music,2022,1.7
79,"ILLENIUM, Jon Bellion - Good Things Fall Apart (Lyric Video)",3474334,108128,1292,Music,2019,3.11
80,"Chencho Corleone, Peso Pluma - HUMO (Official Video)",8915202,199564,0,Music,2024,2.24
81,we were in love (2024) (... 사랑했잖아... (2024)),3630534,22217,0,Music,2024,0.61
82,"Yovie Widianto, Ziva Magnolya - Menanti (Official Music Video)",3264026,58596,0,Music,2023,1.8
83,"Jay Wheeler, Anuel AA, Hades66 - Pacto (Remix) (Official Video) ft. Bryant Myers, Dei V",16651507,517095,0,Music,2023,3.11
84,Aslay feat. Harmonize - Follow Me (Official Music Video),1397658,44137,0,Music,2022,3.16
85,Eden Muñoz - todo me vale madre,1144941,30525,0,Music,2024,2.67
86,ROSONES,1143334,27036,0,Music,2024,2.36
87,Chlöe - Have Mercy (Official Video),1329956,192472,2173,Music,2021,14.47
88,Sofia Castro - Te Juro No Te Miento (Official Video),2581581,135813,0,Music,2024,5.26
89,Chema Rivas - LA ROJA (CANCIÓN MUNDIAL) (Video Oficial),726826,39271,0,Music,2022,5.4
90,Lil Loaded ft. YG - “Gang Unit Remix” (Official Video),1736200,127492,1363,Music,2020,7.34
